City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,tambura,5.6,27.4667,296.72,85,66,1.02,SS,1700929598
276,puerto lempira,15.2667,-83.7667,304.23,66,40,4.12,HN,1700929598
277,szeghalom,47.0333,21.1667,274.81,76,100,5.74,HU,1700929598
278,muynoq,43.7683,59.0214,281.64,41,100,5.19,UZ,1700929598
279,queenstown,-31.8976,26.8753,292.52,81,74,6.06,ZA,1700929598
280,touros,-5.1989,-35.4608,303.41,53,36,6.42,BR,1700929598
281,marka,1.7159,44.7717,301.05,78,98,5.2,SO,1700929599
282,suva,-18.1416,178.4415,295.86,94,75,0.0,FJ,1700929599
283,gadzhiyevo,69.2551,33.3362,267.73,92,100,1.41,RU,1700929599
284,sarangani,5.4033,125.4636,301.67,75,93,8.68,PH,1700929599
285,keflavik,64.0049,-22.5624,280.39,93,100,3.6,IS,1700929599
286,porto novo,6.4965,2.6036,302.05,64,81,4.0,BJ,1700929599
287,bandon,51.7469,-8.7425,281.92,90,100,3.9,IE,1700929460
288,itamaraca,-7.7478,-34.8256,303.18,55,50,5.02,BR,1700929599
289,bafoulabe,13.8065,-10.8321,309.45,8,35,2.24,ML,1700929599
290,holualoa,19.6228,-155.9522,294.19,80,0,2.06,US,1700929599
291,nemuro,43.3236,145.575,271.4,56,31,9.26,JP,1700929600
292,kingston,17.997,-76.7936,304.68,67,75,1.03,JM,1700929600
293,asau,46.4333,26.4,272.75,97,100,1.68,RO,1700929600
294,sisimiut,66.9395,-53.6735,273.58,81,100,2.82,GL,1700929600
295,lakatoro,-16.0999,167.4164,296.9,76,41,3.5,VU,1700929600
296,merizo village,13.2658,144.6691,301.0,89,19,7.42,GU,1700929600
297,arenapolis,-14.4503,-56.8461,310.5,31,42,2.48,BR,1700929600
298,debark',13.1561,37.8981,286.57,56,25,0.73,ET,1700929600
299,ilhabela,-23.7781,-45.3581,292.51,87,100,1.29,BR,1700929600
300,santiago,-33.4569,-70.6483,302.2,42,0,6.17,CL,1700929255
301,keila,59.3036,24.4131,268.03,74,75,4.12,EE,1700929601
302,iskateley,67.6803,53.1512,256.49,96,79,2.68,RU,1700929602
303,kupang,-10.1667,123.5833,300.47,94,95,1.54,ID,1700929602
304,cabo san lucas,22.8909,-109.9124,298.99,67,0,1.03,MX,1700929602
305,nattarasankottai,9.8667,78.5667,298.32,87,97,3.63,IN,1700929602
306,mossel bay,-34.1831,22.146,293.11,72,100,3.12,ZA,1700929602
307,saint-pierre,-21.3393,55.4781,297.97,69,75,1.03,RE,1700929602
308,arkhangel'sk,64.5401,40.5433,257.66,99,100,1.3,RU,1700929602
309,thunder bay,48.4001,-89.3168,270.14,39,75,4.12,CA,1700929603
310,as sulayyil,20.4607,45.5779,300.29,26,96,4.62,SA,1700929603
311,sosnogorsk,63.6023,53.8817,259.56,96,99,1.79,RU,1700929603
312,wadgaon,18.7333,73.65,296.88,65,70,0.64,IN,1700929603
313,moree,-29.4667,149.85,291.4,87,100,4.28,AU,1700929603
314,kapuskasing,49.4169,-82.4331,273.2,55,20,9.77,CA,1700929603
315,zhangye,38.9342,100.4517,276.5,28,0,3.25,CN,1700929603
316,fisterra,42.9049,-9.2629,287.45,71,63,0.83,ES,1700929603
317,horqueta,-23.3428,-57.0597,295.09,99,100,2.22,PY,1700929603
318,les avirons,-21.2418,55.3394,296.2,69,75,1.03,RE,1700929603
319,kerikeri,-35.2268,173.9474,286.52,80,59,3.13,NZ,1700929603
320,hounde,11.5,-3.5167,308.79,16,100,2.12,BF,1700929604
321,tura,25.5198,90.2201,291.29,82,13,1.64,IN,1700929604
322,lages,-27.8161,-50.3261,296.48,45,7,1.95,BR,1700929604
323,tralee,52.2704,-9.7026,283.29,87,75,3.6,IE,1700929528
324,salym,60.0625,71.4789,264.23,96,95,1.64,RU,1700929604
325,la passe,45.5549,-0.8967,280.28,64,55,2.71,FR,1700929604
326,cooper's town,26.8667,-77.5167,297.16,78,92,4.63,BS,1700929604
327,coquimbo,-29.9533,-71.3436,290.0,77,75,4.63,CL,1700929581
328,kainantu,-6.2887,145.8655,289.27,97,54,0.09,PG,1700929604
329,borgarnes,64.5383,-21.9206,279.18,93,100,2.04,IS,1700929604
330,taco pozo,-25.6167,-63.2833,295.53,56,98,2.04,AR,1700929604
331,pacific grove,36.6177,-121.9166,285.05,58,0,3.6,US,1700929605
332,flying fish cove,-10.4217,105.6791,297.97,88,40,3.09,CX,1700929546
333,ta`u,-14.2336,-169.5144,300.69,82,100,6.38,AS,1700929605
334,santa cruz,-17.8,-63.1667,300.18,61,75,6.69,BO,1700929471
335,san agustin de valle fertil,-30.6335,-67.4682,298.94,34,0,5.99,AR,1700929605
336,sao joao da barra,-21.6403,-41.0511,300.2,63,98,6.14,BR,1700929423
337,casablanca,33.5928,-7.6192,293.16,52,0,3.09,MA,1700928979
338,semibratovo,57.3046,39.5369,263.12,97,68,1.15,RU,1700929605
339,santo antonio do ica,-3.1022,-67.9397,295.71,98,100,1.35,BR,1700929605
340,walvis bay,-22.9575,14.5053,292.09,68,28,5.69,NA,1700929605
341,trincomalee,8.5711,81.2335,300.28,82,91,4.16,LK,1700929605
342,molina,-35.1167,-71.2833,289.0,77,75,2.06,CL,1700929605
343,brandon,27.9378,-82.2859,296.33,69,100,4.63,US,1700929606
344,yenotayevka,47.2456,47.0281,281.92,89,98,4.56,RU,1700929606
345,port alfred,-33.5906,26.891,292.14,97,100,4.43,ZA,1700929606
346,murun-kuren,49.6342,100.1625,264.27,86,100,1.74,MN,1700929606
347,kayangel,8.0823,134.7173,301.9,76,51,5.26,PW,1700929606
348,ebon,4.582,168.6964,301.46,80,100,4.3,MH,1700929606
349,tindouf,27.6711,-8.1474,295.4,17,0,3.09,DZ,1700929606
350,san carlos,9.6612,-68.5827,305.46,50,94,1.83,VE,1700929606
351,yanchep,-31.55,115.6833,299.22,90,84,0.68,AU,1700929606
352,katabu,-4.9333,122.5167,298.23,90,60,1.18,ID,1700929606
353,acajutla,13.5928,-89.8275,302.45,65,98,0.62,SV,1700929607
354,butajira,8.1167,38.3667,289.62,49,6,3.2,ET,1700929607
355,banda aceh,5.5577,95.3222,298.97,86,100,2.87,ID,1700929607
356,at taj,24.2049,23.2857,293.45,29,100,4.24,LY,1700929607
357,ola,59.5833,151.2833,254.52,82,100,5.87,RU,1700929607
358,arteche,12.2645,125.4048,298.52,86,99,2.15,PH,1700929607
359,birobidzhan,48.8,132.95,256.38,79,68,4.47,RU,1700929607
360,pauini,-7.7136,-66.9764,300.33,70,100,1.31,BR,1700929607
361,songea,-10.6833,35.65,297.57,54,100,2.85,TZ,1700929607
362,mwene-ditu,-7.0,23.45,294.34,94,48,1.9,CD,1700929607
